scrapedURL,concactURL,Price,nestedAddress,totalAddress,bed,bath,sqFeet,imageURL,latitude,longitude,outputAddress,,original URL,http://calgary.craigslist.ca/search/apa/
/apa/4888872501.html,http://calgary.craigslist.ca/apa/4888872501.html,2500,188-15 AVE SW,"188-15 AVE SW, Calgary, Alberta, Canada",1,1,#N/A,http://images.craigslist.org/00K0K_2fNYY4xOUWq_600x450.jpg,51.038663,-114.065895,"188 15 Avenue Southwest, Calgary, AB T2R 0P5, Canada",,,
/apa/4877619881.html,http://calgary.craigslist.ca/apa/4877619881.html,2300,1121-6 AVE SW,"1121-6 AVE SW, Calgary, Alberta, Canada",1,1,#N/A,http://images.craigslist.org/00M0M_8IC5kkTr15C_600x450.jpg,51.0479,-114.088076,"1121 6 Avenue Southwest, Calgary, AB T2P 5J4, Canada",,,
/apa/4877513255.html,http://calgary.craigslist.ca/apa/4877513255.html,2600,188 15TH AVE SW,"188 15TH AVE SW, Calgary, Alberta, Canada",1,1,#N/A,http://images.craigslist.org/00n0n_jt2QeDB4FIT_600x450.jpg,51.038663,-114.065895,"188 15 Avenue Southwest, Calgary, AB T2R 0P5, Canada",,,
/apa/4877445588.html,http://calgary.craigslist.ca/apa/4877445588.html,1900,738-3 AVE SW,"738-3 AVE SW, Calgary, Alberta, Canada",1,1,#N/A,http://images.craigslist.org/00x0x_jB9welCU8pk_600x450.jpg,51.050855,-114.077663,"738 3 Avenue Southwest, Calgary, AB T2P 0G7, Canada",,,
/apa/4868642590.html,http://calgary.craigslist.ca/apa/4868642590.html,4000,"222, RIVERFRONT AVE SW","222, RIVERFRONT AVE SW, Calgary, Alberta, Canada",2,2,#N/A,http://images.craigslist.org/00n0n_aCDMjlkyZYs_600x450.jpg,51.052502,-114.06691,"222 Riverfront Avenue Southwest, Calgary, AB T2P 4V9, Canada",,,
/apa/4855769526.html,http://calgary.craigslist.ca/apa/4855769526.html,3000,"311, 26 Avenue","311, 26 Avenue, Calgary, Alberta, Canada",4,3.5,#N/A,http://images.craigslist.org/00D0D_bNdMfawLXCa_600x450.jpg,51.076042,-114.056711,"311 26 Avenue Northeast, Calgary, AB T2E 1Z2, Canada",,,
/apa/4868688611.html,http://calgary.craigslist.ca/apa/4868688611.html,2200,738 - 3 AVE SW,"738 - 3 AVE SW, Calgary, Alberta, Canada",1,1,#N/A,http://images.craigslist.org/00V0V_hcCP7nPvXqW_600x450.jpg,51.050855,-114.077663,"738 3 Avenue Southwest, Calgary, AB T2P 0G7, Canada",,,
/apa/4865715512.html,http://calgary.craigslist.ca/apa/4865715512.html,3500,11 Pinnacle Ridge Dr SW,"11 Pinnacle Ridge Dr SW, Calgary, Alberta, Canada",4,4,#N/A,http://images.craigslist.org/01717_3WIorZiqcof_600x450.jpg,51.062744,-114.259919,"11 Pinnacle Ridge Drive, Calgary, AB T3Z 3N7, Canada",,,
/apa/4858478003.html,http://calgary.craigslist.ca/apa/4858478003.html,3000,99 SPRUCE PLACE SW,"99 SPRUCE PLACE SW, Calgary, Alberta, Canada",2,2,#N/A,http://images.craigslist.org/00m0m_iNSuTsSJdI9_600x450.jpg,51.042953,-114.135682,"99 Spruce Place Southwest, Calgary, AB T3C 3X7, Canada",,,
/apa/4864263444.html,http://calgary.craigslist.ca/apa/4864263444.html,2800,8710 Horton Road SW,"8710 Horton Road SW, Calgary, Alberta, Canada",2,2,#N/A,http://images.craigslist.org/00C0C_hN5n2P7d90k_600x450.jpg,50.975899,-114.073514,"8710 Horton Road Southwest, Calgary, AB T2V 0P7, Canada",,,
/apa/4875807672.html,http://calgary.craigslist.ca/apa/4875807672.html,2900,55 Spruce Place SW,"55 Spruce Place SW, Calgary, Alberta, Canada",2,2,#N/A,http://images.craigslist.org/00F0F_2dcpWlBfyzU_600x450.jpg,51.043139,-114.137401,"55 Spruce Place Southwest, Calgary, AB T3C 3X5, Canada",,,
/apa/4884492941.html,http://calgary.craigslist.ca/apa/4884492941.html,2800,8880 HORTON ROAD SW,"8880 HORTON ROAD SW, Calgary, Alberta, Canada",2,2,#N/A,http://images.craigslist.org/00v0v_5RpopTCxi5H_600x450.jpg,50.974481,-114.074113,"8880 Horton Road Southwest, Calgary, AB T2V 2X4, Canada",,,
/apa/4855780964.html,http://calgary.craigslist.ca/apa/4855780964.html,1800,8710 Horton Rd SW,"8710 Horton Rd SW, Calgary, Alberta, Canada",2,2,#N/A,http://images.craigslist.org/00T0T_1LX82yzYPZZ_600x450.jpg,50.975899,-114.073514,"8710 Horton Road Southwest, Calgary, AB T2V 0P7, Canada",,,
/apa/4895520976.html,http://calgary.craigslist.ca/apa/4895520976.html,2900,211 13th ave SE,"211 13th ave SE, Calgary, Alberta, Canada",1,1,#N/A,http://images.craigslist.org/00C0C_gEzELqY7Zhk_600x450.jpg,51.040392,-114.060849,"211 13 Avenue Southeast, Calgary, AB T2G 1E1, Canada",,,
/apa/4895539319.html,http://calgary.craigslist.ca/apa/4895539319.html,1950,328 21 Ave.,"328 21 Ave., Calgary, Alberta, Canada",1,1,#N/A,http://images.craigslist.org/00J0J_awfOhnOiRkK_600x450.jpg,51.034448,-114.070356,"328 21 Avenue Southwest, Calgary, AB T2S 0G8, Canada",,,
/apa/4895595756.html,http://calgary.craigslist.ca/apa/4895595756.html,3200,215-13 Ave SW,"215-13 Ave SW, Calgary, Alberta, Canada",2,2,#N/A,http://images.craigslist.org/00k0k_c1SUn7BdDTB_600x450.jpg,51.040307,-114.066198,"215 13 Avenue Southwest, Calgary, AB T2R 0W5, Canada",,,
